"review_id","asset_key","file_or_code","source_url","source_page_or_reference","usage","permission_status"
"A01","assault","public/images/overwatch/icons/mode-assault.svg","","사용자 제공 나무위키 복사 참고 이미지; 원본 저작자 미확인","모드 아이콘 (assault는 준비 파일)","미확인"
"A01","control","public/images/overwatch/icons/mode-control.svg","","사용자 제공 나무위키 복사 참고 이미지; 원본 저작자 미확인","모드 아이콘 (assault는 준비 파일)","미확인"
"A01","escort","public/images/overwatch/icons/mode-escort.svg","","사용자 제공 나무위키 복사 참고 이미지; 원본 저작자 미확인","모드 아이콘 (assault는 준비 파일)","미확인"
"A01","hybrid","public/images/overwatch/icons/mode-hybrid.svg","","사용자 제공 나무위키 복사 참고 이미지; 원본 저작자 미확인","모드 아이콘 (assault는 준비 파일)","미확인"
"A01","push","public/images/overwatch/icons/mode-push.svg","","사용자 제공 나무위키 복사 참고 이미지; 원본 저작자 미확인","모드 아이콘 (assault는 준비 파일)","미확인"
"A01","flashpoint","public/images/overwatch/icons/mode-flashpoint.svg","","사용자 제공 나무위키 복사 참고 이미지; 원본 저작자 미확인","모드 아이콘 (assault는 준비 파일)","미확인"
"A02","dmon","src/lib/balance/ow-hero-portraits.ts","https://sht-vod.dn.nexoncdn.co.kr/shpd-game/Hero/OW/a46c60b8562fdbd0b8308396d0808f7606fba208bc67cccf3f82fe56d2c73b9d.png","개별 취득 페이지·일자 미기록","영웅 밴·통계 초상화","미확인"
"A03","dva","src/lib/balance/ow-hero-portraits.ts","https://d15f34w2p8l1cc.cloudfront.net/overwatch/df5a5532862d9292634fb3dc0e51a4705aa601de65e5e815513ccc663d84de56.png","개별 취득 페이지·일자 미기록","영웅 밴·통계 초상화","미확인"
"A02","domina","src/lib/balance/ow-hero-portraits.ts","https://sht-vod.dn.nexoncdn.co.kr/shpd-game/Hero/OW/1161c112292c56c052c0ae711792fcde06e3251b98bc9709e582dd7585b5dcd6.png","개별 취득 페이지·일자 미기록","영웅 밴·통계 초상화","미확인"
"A03","doomfist","src/lib/balance/ow-hero-portraits.ts","https://d15f34w2p8l1cc.cloudfront.net/overwatch/ff5c54f43ad253c7faeda9c4ed31d42582ea6b19205d197866f3dd0c0aa14c16.png","개별 취득 페이지·일자 미기록","영웅 밴·통계 초상화","미확인"
"A02","hazard","src/lib/balance/ow-hero-portraits.ts","https://sht-vod.dn.nexoncdn.co.kr/shpd-game/Hero/OW/ca48b96dbae6ea7f58ce8a5e73513c8c62b1685bdbf258020fb78bb21a008b5f.png","개별 취득 페이지·일자 미기록","영웅 밴·통계 초상화","미확인"
